Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1636570673.162115,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.1897788,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.2122362,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.2371855,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.2621207,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.288351,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.3152843,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.3371983,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.3621764,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.3884292,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.4122152,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.4371362,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.4621627,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.4872286,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.5122218,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.5371819,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.562208,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.5872567,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.6121004,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.6372137,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.6621215,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.6875062,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.7122285,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.7371242,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.7621257,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.7874048,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.812357,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.8372347,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.862097,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.8874574,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.9121435,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.9374864,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.9621768,0.0,0.0,0.0,0.0,0.0,0.0
1636570673.9873135,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.012241,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.0372055,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.0621126,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.090911,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.1121435,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.1371348,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.1628137,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.187095,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.212259,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.2371776,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.2622056,0.0,0.0,0.0,0.0,0.0,0.0
1636570674.2872515,0.0,0.0,0.0,0.0,0.0,0.0
