Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10
1636570668.2678158,63697,1636570668,267700850,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.284488,63698,1636570668,284364250,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.3011844,63699,1636570668,300985885,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.317876,63700,1636570668,317688939,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.3345373,63701,1636570668,334376014,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.3512008,63702,1636570668,351045108,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.367763,63703,1636570668,367687010,joystick,-1.0,0.0790429413318634,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.3845527,63704,1636570668,384378490,joystick,-1.0,0.0948515310883522,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.401312,63705,1636570668,401096603,joystick,-1.0,0.0948515310883522,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.4178655,63706,1636570668,417697934,joystick,-1.0,0.0948515310883522,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.4345958,63707,1636570668,434383233,joystick,-1.0,0.0948515310883522,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.4512556,63708,1636570668,451087412,joystick,-1.0,0.1027558222413063,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.4678133,63709,1636570668,467717515,joystick,-1.0,0.1027558222413063,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.4845233,63710,1636570668,484370414,joystick,-1.0,0.1185644119977951,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.5011342,63711,1636570668,501018670,joystick,-1.0,0.1185644119977951,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.51782,63712,1636570668,517686067,joystick,-1.0,0.1185644119977951,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
